drug1,drug2,severity,note
Warfarin,Haloperidol,high,"Severe interaction, avoid concurrent use."
Ibuprofen,Esomeprazole,medium,"Moderate interaction, consult healthcare provider."
Paracetamol,Tramadol,medium,"Moderate interaction, consult healthcare provider."
Aspirin,Esomeprazole,medium,"Moderate interaction, consult healthcare provider."
Metformin,Trazodone,medium,"Moderate interaction, consult healthcare provider."
Aspirin,Doxycycline,high,"Severe interaction, avoid concurrent use."
Ibuprofen,Simvastatin,low,"Minor interaction, monitor symptoms."
Quetiapine,Haloperidol,high,"Severe interaction, avoid concurrent use."
Esomeprazole,Azithromycin,high,"Severe interaction, avoid concurrent use."
Quetiapine,Risperidone,medium,"Moderate interaction, consult healthcare provider."
Naproxen,Aripiprazole,medium,"Moderate interaction, consult healthcare provider."
Hydrochlorothiazide,Quetiapine,high,"Severe interaction, avoid concurrent use."
Paracetamol,Alprazolam,low,"Minor interaction, monitor symptoms."
Atorvastatin,Levothyroxine,low,"Minor interaction, monitor symptoms."
Paracetamol,Omeprazole,high,"Severe interaction, avoid concurrent use."
Aripiprazole,Haloperidol,high,"Severe interaction, avoid concurrent use."
Amoxicillin,Esomeprazole,high,"Severe interaction, avoid concurrent use."
Azithromycin,Quetiapine,medium,"Moderate interaction, consult healthcare provider."
Losartan,Bupropion,medium,"Moderate interaction, consult healthcare provider."
Atorvastatin,Sertraline,high,"Severe interaction, avoid concurrent use."
Metformin,Losartan,low,"Minor interaction, monitor symptoms."
Atorvastatin,Prednisone,low,"Minor interaction, monitor symptoms."
Aspirin,Warfarin,medium,"Moderate interaction, consult healthcare provider."
Metformin,Amoxicillin,low,"Minor interaction, monitor symptoms."
Atorvastatin,Hydrochlorothiazide,low,"Minor interaction, monitor symptoms."
Ciprofloxacin,Baclofen,high,"Severe interaction, avoid concurrent use."
Ranitidine,Olanzapine,medium,"Moderate interaction, consult healthcare provider."
Levothyroxine,Olanzapine,low,"Minor interaction, monitor symptoms."
Ibuprofen,Sertraline,high,"Severe interaction, avoid concurrent use."
Warfarin,Losartan,low,"Minor interaction, monitor symptoms."
Prednisone,Tramadol,high,"Severe interaction, avoid concurrent use."
Aspirin,Azithromycin,medium,"Moderate interaction, consult healthcare provider."
Omeprazole,Risperidone,medium,"Moderate interaction, consult healthcare provider."
Atorvastatin,Furosemide,low,"Minor interaction, monitor symptoms."
Gabapentin,Haloperidol,medium,"Moderate interaction, consult healthcare provider."
Omeprazole,Doxycycline,medium,"Moderate interaction, consult healthcare provider."
Sertraline,Risperidone,low,"Minor interaction, monitor symptoms."
Morphine,Doxycycline,medium,"Moderate interaction, consult healthcare provider."
Omeprazole,Metoprolol,high,"Severe interaction, avoid concurrent use."
Metformin,Sertraline,high,"Severe interaction, avoid concurrent use."
Naproxen,Trazodone,medium,"Moderate interaction, consult healthcare provider."
Hydrochlorothiazide,Naproxen,medium,"Moderate interaction, consult healthcare provider."
Amoxicillin,Ranitidine,low,"Minor interaction, monitor symptoms."
Lisinopril,Alprazolam,high,"Severe interaction, avoid concurrent use."
Furosemide,Ketorolac,low,"Minor interaction, monitor symptoms."
Insulin,Trazodone,medium,"Moderate interaction, consult healthcare provider."
Furosemide,Diazepam,high,"Severe interaction, avoid concurrent use."
Clopidogrel,Metoprolol,high,"Severe interaction, avoid concurrent use."
Metformin,Atorvastatin,low,"Minor interaction, monitor symptoms."
Sertraline,Fluoxetine,low,"Minor interaction, monitor symptoms."
Tramadol,Olanzapine,medium,"Moderate interaction, consult healthcare provider."
Omeprazole,Gabapentin,high,"Severe interaction, avoid concurrent use."
Azithromycin,Ketorolac,high,"Severe interaction, avoid concurrent use."
Baclofen,Haloperidol,medium,"Moderate interaction, consult healthcare provider."
Ibuprofen,Levothyroxine,medium,"Moderate interaction, consult healthcare provider."
Ketorolac,Trazodone,medium,"Moderate interaction, consult healthcare provider."
Atorvastatin,Tramadol,low,"Minor interaction, monitor symptoms."
Omeprazole,Hydrochlorothiazide,low,"Minor interaction, monitor symptoms."
Metoprolol,Azithromycin,low,"Minor interaction, monitor symptoms."
Aspirin,Baclofen,high,"Severe interaction, avoid concurrent use."
Warfarin,Baclofen,high,"Severe interaction, avoid concurrent use."
Atorvastatin,Baclofen,medium,"Moderate interaction, consult healthcare provider."
Morphine,Aripiprazole,high,"Severe interaction, avoid concurrent use."
Alprazolam,Morphine,high,"Severe interaction, avoid concurrent use."
Aspirin,Losartan,medium,"Moderate interaction, consult healthcare provider."
Losartan,Quetiapine,medium,"Moderate interaction, consult healthcare provider."
Aspirin,Insulin,low,"Minor interaction, monitor symptoms."
Aspirin,Losartan,medium,"Moderate interaction, consult healthcare provider."
Lisinopril,Naproxen,medium,"Moderate interaction, consult healthcare provider."
Warfarin,Losartan,medium,"Moderate interaction, consult healthcare provider."
Prednisone,Citalopram,high,"Severe interaction, avoid concurrent use."
Gabapentin,Losartan,low,"Minor interaction, monitor symptoms."
Citalopram,Baclofen,high,"Severe interaction, avoid concurrent use."
Atorvastatin,Venlafaxine,medium,"Moderate interaction, consult healthcare provider."
Prednisone,Gabapentin,medium,"Moderate interaction, consult healthcare provider."
Metformin,Lisinopril,medium,"Moderate interaction, consult healthcare provider."
Warfarin,Sertraline,low,"Minor interaction, monitor symptoms."
Metformin,Fluoxetine,low,"Minor interaction, monitor symptoms."
Furosemide,Trazodone,high,"Severe interaction, avoid concurrent use."
