 drug_name,age_group,warning,severity,alternative,note
Dexamethasone,<2 years,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Ciprofloxacin,<18,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Lorazepam,Elderly,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin,Neonates,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Lorazepam,All,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Metoclopramide,All,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Aspirin,Neonates,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Dexamethasone,<18,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Promethazine,Elderly,Risk of fatal respiratory depression.,Medium,Saline Nebulizer,Never use in children under 2.
Ciprofloxacin,Elderly,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant10,All,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Aspirin Variant11,<18,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Codeine Variant12,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Chloramphenicol Variant13,Adult,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Ciprofloxacin Variant14,<18,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Codeine Variant15,All,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Promethazine Variant16,Adult,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Codeine Variant17,<18,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Codeine Variant18,<18,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Dexamethasone Variant19,Elderly,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Ciprofloxacin Variant20,Pediatric,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Hydroxyzine Variant21,<2 years,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Aspirin Variant22,Elderly,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Dexamethasone Variant23,Adult,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Aspirin Variant24,<18,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Aspirin Variant25,All,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Codeine Variant26,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Aspirin Variant27,<18,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Dexamethasone Variant28,Neonates,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
